"direction","distance_threshold_m","predictor","slope","p_value","r_squared","adj_r_squared","AIC","sample_size","conf_low","conf_high","relationship_sign","status"
"NE",30,"mean_neighbour_DGR",0.856058089213712,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109590659145382,0.763461587353741,0.763029947914606,61.8183090674521,550,0.816074798156331,0.896041380271093,"positive","OK"
"NE",40,"mean_neighbour_DGR",0.860826537114621,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000356986737430322,0.751810559360174,0.75136094080829,90.9169983795778,554,0.819475641496736,0.902177432732506,"positive","OK"
"NE",50,"mean_neighbour_DGR",0.820882389722699,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000131843781443568,0.709981447549013,0.709473534147172,179.968432104359,573,0.7777581059725,0.864006673472898,"positive","OK"
"NE",60,"mean_neighbour_DGR",0.790370641460098,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000879487904591582,0.643603129770518,0.643018872606207,319.00854920661,612,0.743604192383346,0.83713709053685,"positive","OK"
"NE",70,"mean_neighbour_DGR",0.773728863560536,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109252702212405,0.610545668761752,0.609920541424291,378.643895951804,625,0.725109799159953,0.822347927961119,"positive","OK"
"NE",80,"mean_neighbour_DGR",0.765279170800284,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000587943394214483,0.592026967840809,0.591380417869083,411.513839801099,633,0.715616266935918,0.814942074664649,"positive","OK"
"NE",90,"mean_neighbour_DGR",0.757488776601999,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000112288380238307,0.572001181059668,0.571330336515874,445.549039338927,640,0.706548483197838,0.80842907000616,"positive","OK"
"NE",100,"mean_neighbour_DGR",0.763309064631854,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000287519948894459,0.564803144866246,0.564126322385478,461.478328354033,645,0.711422419347828,0.815195709915881,"positive","OK"
"NE",110,"mean_neighbour_DGR",0.757087087076296,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000037219695894001,0.554826577358623,0.554140639881518,478.138728468206,651,0.704815192288806,0.809358981863787,"positive","OK"
"NE",120,"mean_neighbour_DGR",0.767890918547572,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000665988209711604,0.541150436979492,0.540449903295491,504.181806395034,657,0.713640090700599,0.822141746394544,"positive","OK"
"NE",130,"mean_neighbour_DGR",0.758747046331443,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000716014999549286,0.522498321586896,0.521773736338924,532.230992657303,661,0.70326585710594,0.814228235556946,"positive","OK"
"NE",140,"mean_neighbour_DGR",0.75318903428488,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000809927667774598,0.498751419528141,0.497997662264273,580.783532707159,667,0.695695776824963,0.810682291744797,"positive","OK"
"NE",150,"mean_neighbour_DGR",0.757639381387771,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000563924251490095,0.483715995301506,0.482943115054952,604.759485961842,670,0.698174698332804,0.817104064442737,"positive","OK"
"NE",160,"mean_neighbour_DGR",0.754558928142292,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000546626943577769,0.475595385847501,0.474812692393542,616.396338423183,672,0.694454906558326,0.814662949726258,"positive","OK"
"NE",170,"mean_neighbour_DGR",0.760122282195872,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012260550518551,0.459207249062148,0.458401298613657,642.221922269083,673,0.697595593409687,0.822648970982057,"positive","OK"
"NE",180,"mean_neighbour_DGR",0.765322353562746,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000182967306299575,0.443520413399121,0.44269108465605,661.465931916501,673,0.700341843760535,0.830302863364956,"positive","OK"
"NE",190,"mean_neighbour_DGR",0.759588832429436,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000934804557765695,0.421330367995037,0.42046796913959,687.78106824567,673,0.692112193905517,0.827065470953354,"positive","OK"
