"ID","direction","has_neighbour","n_neighbours","nearest_distance_m","mean_distance_m","proximity_pressure","neighbour_density_per_ha","distance_threshold_m","DGR"
"098_1","SE",1,27,43.7975755852646,131.496632067263,0.24632728126638,6.49857612624752,230,3.26038825736338
"098_1","SE",1,27,43.7975755852646,131.496632067263,0.24632728126638,5.96831036594608,240,3.26038825736338
"098_1","SE",1,28,43.7975755852646,135.422670138048,0.250469342397734,5.70411316041353,250,3.26038825736338
"098_1","SE",1,28,43.7975755852646,135.422670138048,0.250469342397734,5.27377326221665,260,3.26038825736338
"098_1","SE",1,28,43.7975755852646,135.422670138048,0.250469342397734,4.89035764781681,270,3.26038825736338
"098_1","SE",1,28,43.7975755852646,135.422670138048,0.250469342397734,4.54728408833987,280,3.26038825736338
"098_1","SE",1,28,43.7975755852646,135.422670138048,0.250469342397734,4.23908528568187,290,3.26038825736338
"098_1","SE",1,28,43.7975755852646,135.422670138048,0.250469342397734,3.96118969473162,300,3.26038825736338
"098_1","SE",1,28,43.7975755852646,135.422670138048,0.250469342397734,3.7097510148371,310,3.26038825736338
"098_1","SE",1,28,43.7975755852646,135.422670138048,0.250469342397734,3.48151438013521,320,3.26038825736338
"098_1","SE",1,28,43.7975755852646,135.422670138048,0.250469342397734,3.27371049151373,330,3.26038825736338
"098_1","SE",1,28,43.7975755852646,135.422670138048,0.250469342397734,3.0839712156215,340,3.26038825736338
"098_1","SE",1,28,43.7975755852646,135.422670138048,0.250469342397734,2.91026181653752,350,3.26038825736338
"098_1","SE",1,28,43.7975755852646,135.422670138048,0.250469342397734,2.75082617689696,360,3.26038825736338
"098_1","SE",1,28,43.7975755852646,135.422670138048,0.250469342397734,2.60414223904927,370,3.26038825736338
"098_1","SE",1,28,43.7975755852646,135.422670138048,0.250469342397734,2.4688855438078,380,3.26038825736338
"098_1","SE",1,28,43.7975755852646,135.422670138048,0.250469342397734,2.34389922765184,390,3.26038825736338
"098_1","SE",1,28,43.7975755852646,135.422670138048,0.250469342397734,2.22816920328654,400,3.26038825736338
"098_1","SE",1,28,43.7975755852646,135.422670138048,0.250469342397734,2.12080352484144,410,3.26038825736338
"098_1","SE",1,28,43.7975755852646,135.422670138048,0.250469342397734,2.02101515037327,420,3.26038825736338
"098_1","SE",1,28,43.7975755852646,135.422670138048,0.250469342397734,1.92810747715438,430,3.26038825736338
"098_1","SE",1,28,43.7975755852646,135.422670138048,0.250469342397734,1.84146215147647,440,3.26038825736338
"098_1","SE",1,28,43.7975755852646,135.422670138048,0.250469342397734,1.76052875321405,450,3.26038825736338
"098_1","SE",1,28,43.7975755852646,135.422670138048,0.250469342397734,1.68481603273084,460,3.26038825736338
"098_1","SE",1,28,43.7975755852646,135.422670138048,0.250469342397734,1.61388443877703,470,3.26038825736338
"098_1","SE",1,28,43.7975755852646,135.422670138048,0.250469342397734,1.54733972450454,480,3.26038825736338
"098_1","SE",1,28,43.7975755852646,135.422670138048,0.250469342397734,1.4848274574171,490,3.26038825736338
"098_1","SE",1,28,43.7975755852646,135.422670138048,0.250469342397734,1.42602829010338,500,3.26038825736338
"098_2","SE",0,0,NA,NA,0,0,10,2.89775649554604
"098_2","SE",0,0,NA,NA,0,0,20,2.89775649554604
