"plot_id","closest_SW_distance_m","closest_SE_distance_m","log_closest_SW","log_closest_SE","predicted_DGR_se_only","predicted_DGR_se_only_lwr","predicted_DGR_se_only_upr","predicted_DGR_sw_se","predicted_DGR_sw_se_lwr","predicted_DGR_sw_se_upr"
"015_1",16.9051936644874,46.3946467076682,2.82762089214199,3.8371840798967,3.12271770772365,3.08279700330651,3.16263841214079,3.07667147939924,3.03503041114082,3.11831254765766
"015_2",16.9090963560463,46.6205247267637,2.82785172304655,3.84204088894461,3.1241158971117,3.08374126803299,3.1644905261904,3.07777395625078,3.03567902790757,3.119868884594
"015_3",17.1540694463005,46.078490719937,2.84223543096277,3.83034626237764,3.12072734561114,3.08119206076296,3.16026263045933,3.07944749561752,3.0378612220392,3.12103376919584
"015_4",15.2282890098915,45.2370974038453,2.72315481718777,3.81191748923921,3.11525292962494,3.0750862093509,3.15541964989898,3.040768563242,2.99133763674976,3.09019948973425
"015_5",19.0663963415856,45.8095746868758,2.94792743172827,3.82449312356993,3.11900489446509,3.0795439702406,3.15846581868958,3.10911442945436,3.05850383773906,3.15972502116965
"015_6",114.387381938647,45.7345683058492,4.73959077512335,3.82285443003129,3.1185197871058,3.07903511163794,3.15800446257366,3.39222038237163,3.26970568899897,3.51473507574429
"016_1",15.5560160396233,45.7484008485305,2.74444744738215,3.82315683698014,3.11860940064129,3.07913060840567,3.15808819287691,3.04946394796167,3.0034454097235,3.09548248619984
"016_2",14.9869065680959,45.1327767080531,2.70717692444685,3.80960873882529,3.11455735578925,3.07412757416858,3.15498713740991,3.03561849410401,2.98339328446434,3.08784370374369
"016_3",16.6189230495402,44.3925783660569,2.81054198886451,3.79307230154877,3.10952483469701,3.06599804864297,3.15305162075104,3.06173832437591,3.01710019115724,3.10637645759459
"016_4",15.7215673023262,45.970583138655,2.75503348319702,3.82800169493792,3.12003936927549,3.08056322257203,3.15951551597896,3.05360185821056,3.00879329071679,3.09841042570432
"016_5",15.8684016021789,47.823327521011,2.76432981126671,3.86751354390481,3.13120385754617,3.08648815768846,3.17591955740388,3.06449477923132,3.01561026448308,3.11337929397956
"016_6",119.601591784403,46.5906953722062,4.7841661506621,3.84140085107054,3.12393241644366,3.08362567209665,3.16423916079067,3.39403675323889,3.26793620482401,3.52013730165377
