"plot_id","DGR","closest_SW_distance_m","closest_SE_distance_m","log_closest_SW","log_closest_SE"
"086_3",2.85964583109548,16.2914837679364,44.2418411497473,2.79064250305387,3.78967097365704
"088_6",4.49069443500989,54.4861222293386,74.9092839301156,3.99794603124965,4.31627783384476
"091_3",3.30037690464158,14.1478570486963,43.8354617226923,2.64956316729843,3.78044311818212
"095_1",3.33532831968643,18.5379146679915,48.0898462350414,2.91981807635703,3.87307105784303
"101_5",3.32255281340438,17.3970488542118,47.1862001425964,2.85630058575596,3.85410147998286
"106_5",3.14904504586823,16.5382584802684,43.917644223472,2.80567639265349,3.78231615786362
"107_4",3.91694367643589,15.764284309554,41.6463244429053,2.75774689453894,3.72921311604897
"001_1",4.10297633130327,17.0782759548538,107.383452461051,2.83780724385433,4.67640609628471
"004_4",3.68579720142561,15.5794724842249,46.9010540221513,2.74595418134724,3.84804014901956
"007_1",2.21052808551647,16.5353608608756,60.6067814883653,2.80550117025825,4.10440679256289
"009_1",3.72025973425248,17.5971633454498,106.858380195043,2.86773771550027,4.6715044082175
"011_1",2.9043112198114,18.2926830031216,60.2712660411156,2.9065011439967,4.09885547343188
"015_3",3.25492628262194,17.1540694463005,46.078490719937,2.84223543096277,3.83034626237764
"016_2",3.07592383265041,14.9869065680959,45.1327767080531,2.70717692444685,3.80960873882529
"031_3",3.36632954076308,16.5258349365705,45.7439596480697,2.80492491012373,3.82305975345447
"036_1",3.76790163181719,16.8929494510934,44.8598940841237,2.82689634263714,3.8035441680577
"037_6",4.38078015538067,85.1978089309702,46.4277778965709,4.44497571673194,3.83789794166989
"043_4",3.27755806119483,15.5586694275303,48.1986163541667,2.74461800272434,3.87533031429943
"046_4",3.86749593951526,457.969685058224,45.2459950864077,6.12680299209434,3.81211415985128
"050_1",3.81213972637082,16.6585300382256,49.0667868828511,2.81292239984627,3.89318236768177
"051_3",3.24237182640952,16.7256724235934,47.457686432391,2.81694480990526,3.85983850208218
"055_2",2.79314168547178,14.7940158102368,50.1309998232671,2.6942227618576,3.91463957568588
"057_6",4.32354750247828,51.2314312445999,46.6547183829077,3.93635323518725,3.84277406650675
"066_3",2.38555770337309,16.0388760859422,47.085225105709,2.77501553052841,3.85195925978757
"069_3",2.47104113081505,17.1523164206479,45.9317252503134,2.84213323275041,3.82715606023432
"070_2",2.81872090309129,18.6191670211838,88.9633831221074,2.92419153514384,4.48822485947911
"076_3",4.08171704955525,17.5810799332048,46.2217853664788,2.86682332001791,3.83345123167439
"081_4",3.59763026635829,16.2335338731632,45.4182167366364,2.78707909492708,3.81591327427381
"002_6",3.57017040034015,16.5390786382231,46.3072401998237,2.80572598297885,3.83529832467289
"003_4",4.05457233566648,15.743207579694,44.7869459986917,2.75640900746891,3.80191671300261
"004_3",3.80077858850861,13.4995832965303,47.4039677559257,2.60265881804431,3.85870593312864
"005_1",3.86185996985017,15.3870928481353,44.8650954753541,2.73352903125053,3.80366010880647
"007_5",3.66780932519484,17.1489408200543,48.0852995118439,2.84193641194114,3.87297650694496
"008_5",3.02031860456431,17.6865108928584,51.1763178272155,2.87280225258798,3.93527688260251
"009_3",4.44398468250228,17.9232654063846,46.9840704706089,2.88609961228492,3.84980861810435
"010_2",4.10298538759077,17.0219637593992,99.9072713975064,2.83450449600769,4.60424246976751
"013_5",4.44183025290988,17.7728276883851,46.8032324496513,2.87767075659695,3.84595226997541
"015_2",3.9880017709669,16.9090963560463,46.6205247267637,2.82785172304655,3.84204088894461
"016_3",3.19000876175238,16.6189230495402,44.3925783660569,2.81054198886451,3.79307230154877
"017_6",4.62493701624129,125.116934627737,45.0220809474775,4.82924877703826,3.80715305714419
"021_4",3.74007529544381,15.6861814436937,46.109724274854,2.75278016196147,3.83102386647517
"023_2",4.43643767176154,15.1104385500232,44.4726478373766,2.71538579969028,3.79487434485431
"026_1",4.00539744212956,16.1271681688411,166.050666628054,2.78050531372606,5.11229296243712
"031_6",4.88150089744468,91.5773634693832,45.2537258203742,4.5171841174433,3.81228500532811
"035_6",4.36215944578183,204.265613162828,45.0707721647171,5.31942117225229,3.80823396912107
"036_2",4.12749954813534,15.0422961108403,44.2526579225978,2.71086597381345,3.78991543569745
"046_3",2.99888156345774,16.9111498617226,46.030178745611,2.8279731595178,3.82929724106321
"001_3",4.21668982949234,18.2483795583253,47.0418903285409,2.90407628476168,3.85103848833867
"003_5",3.19487906146979,16.7881506575449,44.9419457058467,2.82067331955217,3.80537156145517
"004_5",2.97223756509336,16.1430425327189,45.4610647618009,2.7814891539188,3.81685624009909
"005_2",4.05037431444443,15.9564716029222,42.5420378414101,2.76986449006929,3.75049271274814
"008_6",3.13846094844995,17.3485254323261,48.2412043573346,2.85350751328976,3.87621351805535
"009_4",3.15415781160918,52.39048355956,47.2765538243613,3.95872496337486,3.85601448178569
"013_6",4.47076501442596,52.6185860782242,47.6463344928105,3.9630694048259,3.86380570149198
"015_1",3.03494923532044,16.9051936644874,46.3946467076682,2.82762089214199,3.8371840798967
"016_5",3.46055581606274,15.8684016021789,47.823327521011,2.76432981126671,3.86751354390481
"017_4",3.49006498051426,15.6736711311551,46.610338772175,2.75198230660342,3.84182237858769
"021_3",3.09894581363733,15.6047416653633,45.713601609049,2.74757482097907,3.82239588182443
"023_3",4.20544789824428,16.8877744457406,44.8432557946735,2.82658995456748,3.80317320472668
"026_2",3.82894181498681,123.76082979033,161.030379231569,4.81835091107693,5.08159303806389
"035_4",3.32896069322357,16.1096500891789,44.7118735992211,2.77941847685237,3.80023909496441
"036_3",3.32627270148267,15.5011786943474,44.6604219212863,2.74091606583055,3.79908769377639
"041_6",4.11886011738181,119.57406030808,46.8849645809943,4.78393593093694,3.84769703942701
"043_6",4.61001997836149,74.1346274599975,49.6175670822384,4.30588273030052,3.90434494607084
"044_4",3.28667502049813,16.5155140995065,49.8716117279883,2.80430018760478,3.90945193762389
"047_1",4.12691352900075,16.4427501488319,120.506379767927,2.79988465962984,4.79170269566139
"048_4",2.79296954196223,16.0989141218146,46.2156517189956,2.77875182386582,3.83331852251054
"049_6",3.50698047374941,54.5795338705682,46.8690978017619,3.99965897494633,3.84735856280038
"055_1",2.85133213725244,16.540564766756,49.9198811331228,2.80581583452385,3.91041934291096
"058_1",3.50621873850348,15.5532053384821,48.270798217026,2.74426674847524,3.87682678603922
"071_6",4.38562139669569,92.0903114420852,45.7499351378197,4.5227697416592,3.82319037396795
"079_3",2.88490722776995,15.6228129463869,45.6510526408792,2.74873221439431,3.821026665721
"081_6",3.42484196763336,52.9489792065117,47.4536304163265,3.96932879341988,3.85975303248378
